CompleteName	FileID	FileName	DataCategory	DataType	ProjectID	CaseID	SampleID	SampleType	paired	MTHFD2_expression
65494cd0-9109-4c0a-96c1-f07c7e042d43/ff624a77-3815-481d-b351-0e810648dfd4.FPKM.txt.gz	65494cd0-9109-4c0a-96c1-f07c7e042d43	ff624a77-3815-481d-b351-0e810648dfd4.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-FD-A6TF	TCGA-FD-A6TF-01A	Primary Tumor	unpaired	6.62527891993097
16023b80-53ba-4f86-8b48-69222780a690/8bfe9916-987b-445b-8ca0-1cac3e5df2a9.FPKM.txt.gz	16023b80-53ba-4f86-8b48-69222780a690	8bfe9916-987b-445b-8ca0-1cac3e5df2a9.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-XF-AAMR	TCGA-XF-AAMR-01A	Primary Tumor	unpaired	4.958844463498987
f72002db-8267-406c-9480-e8572baaa558/944e47ef-da39-4159-8298-3971c72c97cd.FPKM.txt.gz	f72002db-8267-406c-9480-e8572baaa558	944e47ef-da39-4159-8298-3971c72c97cd.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-XF-A8HF	TCGA-XF-A8HF-01A	Primary Tumor	unpaired	4.585820443452722
87ddd5ed-b785-4d66-8ef1-8a63bf9d6906/694e84fe-2af3-4b41-a3d1-09fb324fa6eb.FPKM.txt.gz	87ddd5ed-b785-4d66-8ef1-8a63bf9d6906	694e84fe-2af3-4b41-a3d1-09fb324fa6eb.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-ZF-AA4U	TCGA-ZF-AA4U-01A	Primary Tumor	unpaired	4.330422038387541
5889c52a-a041-4c06-8144-bde22d3c0f0b/5c875572-a75a-411a-89e3-6eac50a72648.FPKM.txt.gz	5889c52a-a041-4c06-8144-bde22d3c0f0b	5c875572-a75a-411a-89e3-6eac50a72648.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-ZF-AA54	TCGA-ZF-AA54-01A	Primary Tumor	unpaired	8.148641992788296
d1fde5a2-059a-461e-b5a4-e95dd88f6ffd/cd31d6ac-5218-4b91-b025-e7d2b12bfe0a.FPKM.txt.gz	d1fde5a2-059a-461e-b5a4-e95dd88f6ffd	cd31d6ac-5218-4b91-b025-e7d2b12bfe0a.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-GU-A766	TCGA-GU-A766-01A	Primary Tumor	unpaired	6.485307709260605
6e6131cf-fdea-452b-9b65-49d334a097e8/bdb254d4-48fe-42d1-b907-0c81cf4c50c0.FPKM.txt.gz	6e6131cf-fdea-452b-9b65-49d334a097e8	bdb254d4-48fe-42d1-b907-0c81cf4c50c0.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-BL-A13I	TCGA-BL-A13I-01B	Primary Tumor	unpaired	6.139685852415585
7fa61e74-5dd3-4c93-bbab-95ebf96f7974/ebabf0ba-ab2c-4325-86ff-dbf231a27c05.FPKM.txt.gz	7fa61e74-5dd3-4c93-bbab-95ebf96f7974	ebabf0ba-ab2c-4325-86ff-dbf231a27c05.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-XF-AAML	TCGA-XF-AAML-01A	Primary Tumor	unpaired	5.668868439852254
28e7bf40-2c49-43b4-a942-6d7d4aa26eea/7b0bb368-7e9c-4638-9ecc-d1a00ca64ae7.FPKM.txt.gz	28e7bf40-2c49-43b4-a942-6d7d4aa26eea	7b0bb368-7e9c-4638-9ecc-d1a00ca64ae7.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-K4-A54R	TCGA-K4-A54R-11A	Solid Tissue Normal	paired	3.873044934856984
9a7bf44e-7779-407d-888f-f19060897584/b9e40f63-6533-4259-8b54-05639aea4a2d.FPKM.txt.gz	9a7bf44e-7779-407d-888f-f19060897584	b9e40f63-6533-4259-8b54-05639aea4a2d.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-ZF-AA58	TCGA-ZF-AA58-01A	Primary Tumor	unpaired	6.5904564581325635
9601c2d1-3e54-48b7-89c0-a2bdeabb3023/2d6fc33e-c553-427e-9e1c-8008f694b0ce.FPKM.txt.gz	9601c2d1-3e54-48b7-89c0-a2bdeabb3023	2d6fc33e-c553-427e-9e1c-8008f694b0ce.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-G2-AA3B	TCGA-G2-AA3B-01A	Primary Tumor	unpaired	4.494586139291941
0fb1d397-cdec-48d9-9adf-4ea5724c227f/96edd51f-4101-44d1-b522-8cfbe69f3963.FPKM.txt.gz	0fb1d397-cdec-48d9-9adf-4ea5724c227f	96edd51f-4101-44d1-b522-8cfbe69f3963.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-K4-A54R	TCGA-K4-A54R-01A	Primary Tumor	paired	5.572183289318415
3e97d12b-f89f-49ee-8e3f-b9f914d9b79b/56195f30-f4b9-441c-a007-ce2ee2cf1475.FPKM.txt.gz	3e97d12b-f89f-49ee-8e3f-b9f914d9b79b	56195f30-f4b9-441c-a007-ce2ee2cf1475.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-DK-A1AA	TCGA-DK-A1AA-01A	Primary Tumor	unpaired	4.253083371033756
40b1eb1a-6e66-474f-a0e5-fe36cb4b828c/4f2319b7-fdfb-4682-bb16-f86ba1a8fac9.FPKM.txt.gz	40b1eb1a-6e66-474f-a0e5-fe36cb4b828c	4f2319b7-fdfb-4682-bb16-f86ba1a8fac9.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-CU-A5W6	TCGA-CU-A5W6-01A	Primary Tumor	unpaired	4.915345913437191
db9100a0-939a-48d5-b413-d9f569577021/f84433d3-7588-4b84-b8ef-aade7becf0a6.FPKM.txt.gz	db9100a0-939a-48d5-b413-d9f569577021	f84433d3-7588-4b84-b8ef-aade7becf0a6.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-DK-AA6R	TCGA-DK-AA6R-01A	Primary Tumor	unpaired	5.879117627306901
17237407-e562-4589-8c0f-aec6c9a44cd4/748316bc-c1df-4dbf-b365-defbc050e9f9.FPKM.txt.gz	17237407-e562-4589-8c0f-aec6c9a44cd4	748316bc-c1df-4dbf-b365-defbc050e9f9.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-BT-A3PH	TCGA-BT-A3PH-01A	Primary Tumor	unpaired	5.792118554454854
f856dab3-a47b-4b3a-bb1e-24ec3ba6d458/5b341f38-0882-4a42-814b-bb8d614d82e7.FPKM.txt.gz	f856dab3-a47b-4b3a-bb1e-24ec3ba6d458	5b341f38-0882-4a42-814b-bb8d614d82e7.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-DK-A3IQ	TCGA-DK-A3IQ-01A	Primary Tumor	unpaired	4.328880930155036
845ec2cc-03a1-4061-86f9-7a39d5960f5b/982a23b0-6f0b-4bde-b722-978acf79f39b.FPKM.txt.gz	845ec2cc-03a1-4061-86f9-7a39d5960f5b	982a23b0-6f0b-4bde-b722-978acf79f39b.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-E7-A4XJ	TCGA-E7-A4XJ-01A	Primary Tumor	unpaired	3.8468951842802195
39aa0aaa-e4bf-4e93-91ab-565b896f2c51/6c490675-8eb5-4f77-82be-008585cd8192.FPKM.txt.gz	39aa0aaa-e4bf-4e93-91ab-565b896f2c51	6c490675-8eb5-4f77-82be-008585cd8192.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-XF-A9T6	TCGA-XF-A9T6-01A	Primary Tumor	unpaired	6.432398470670794
86950337-394e-42c1-81cd-e1dd961eb61a/70477533-7219-4548-8c32-0688b929de95.FPKM.txt.gz	86950337-394e-42c1-81cd-e1dd961eb61a	70477533-7219-4548-8c32-0688b929de95.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-ZF-AA5H	TCGA-ZF-AA5H-01A	Primary Tumor	unpaired	5.8696852819678735
